County,Date,DailyCount,DailyDelta,LastUpdateDate
Anderson,2020-03-04,0,,2020-10-02
Anderson,2020-03-05,0,0,2020-10-02
Anderson,2020-03-06,0,0,2020-10-02
Anderson,2020-03-09,0,0,2020-10-02
Anderson,2020-03-10,0,0,2020-10-02
Anderson,2020-03-11,0,0,2020-10-02
Anderson,2020-03-12,0,0,2020-10-02
Anderson,2020-03-13,0,0,2020-10-02
Anderson,2020-03-15,0,0,2020-10-02
Anderson,2020-03-16,0,0,2020-10-02
Anderson,2020-03-17,0,0,2020-10-02
Anderson,2020-03-18,0,0,2020-10-02
Anderson,2020-03-19,0,0,2020-10-02
Anderson,2020-03-20,0,0,2020-10-02
Anderson,2020-03-21,0,0,2020-10-02
Anderson,2020-03-22,0,0,2020-10-02
Anderson,2020-03-23,0,0,2020-10-02
Anderson,2020-03-24,0,0,2020-10-02
Anderson,2020-03-25,0,0,2020-10-02
Anderson,2020-03-26,0,0,2020-10-02
Anderson,2020-03-27,0,0,2020-10-02
Anderson,2020-03-28,0,0,2020-10-02
Anderson,2020-03-29,0,0,2020-10-02
Anderson,2020-03-30,0,0,2020-10-02
Anderson,2020-03-31,0,0,2020-10-02
Anderson,2020-04-01,1,1,2020-10-02
Anderson,2020-04-02,1,0,2020-10-02
Anderson,2020-04-03,1,0,2020-10-02
Anderson,2020-04-04,1,0,2020-10-02
Anderson,2020-04-05,1,0,2020-10-02
Anderson,2020-04-06,1,0,2020-10-02
Anderson,2020-04-07,1,0,2020-10-02
Anderson,2020-04-08,1,0,2020-10-02
Anderson,2020-04-09,2,1,2020-10-02
Anderson,2020-04-10,2,0,2020-10-02
Anderson,2020-04-11,3,1,2020-10-02
Anderson,2020-04-12,3,0,2020-10-02
Anderson,2020-04-13,3,0,2020-10-02
Anderson,2020-04-14,3,0,2020-10-02
Anderson,2020-04-15,4,1,2020-10-02
Anderson,2020-04-16,6,2,2020-10-02
Anderson,2020-04-17,6,0,2020-10-02
Anderson,2020-04-18,6,0,2020-10-02
Anderson,2020-04-19,8,2,2020-10-02
Anderson,2020-04-20,8,0,2020-10-02
Anderson,2020-04-21,10,2,2020-10-02
Anderson,2020-04-22,14,4,2020-10-02
Anderson,2020-04-23,14,0,2020-10-02
Anderson,2020-04-24,16,2,2020-10-02
Anderson,2020-04-25,16,0,2020-10-02
Anderson,2020-04-26,18,2,2020-10-02
Anderson,2020-04-27,19,1,2020-10-02
Anderson,2020-04-28,23,4,2020-10-02
Anderson,2020-04-29,23,0,2020-10-02
Anderson,2020-04-30,29,6,2020-10-02
Anderson,2020-05-01,30,1,2020-10-02
Anderson,2020-05-02,32,2,2020-10-02
Anderson,2020-05-03,32,0,2020-10-02
Anderson,2020-05-04,32,0,2020-10-02
Anderson,2020-05-05,34,2,2020-10-02
Anderson,2020-05-06,38,4,2020-10-02
Anderson,2020-05-07,40,2,2020-10-02
Anderson,2020-05-08,41,1,2020-10-02
Anderson,2020-05-09,41,0,2020-10-02
Anderson,2020-05-10,41,0,2020-10-02
Anderson,2020-05-11,41,0,2020-10-02
Anderson,2020-05-12,50,9,2020-10-02
Anderson,2020-05-13,50,0,2020-10-02
Anderson,2020-05-14,51,1,2020-10-02
Anderson,2020-05-15,52,1,2020-10-02
Anderson,2020-05-16,54,2,2020-10-02
Anderson,2020-05-17,54,0,2020-10-02
Anderson,2020-05-18,54,0,2020-10-02
Anderson,2020-05-19,60,6,2020-10-02
Anderson,2020-05-20,61,1,2020-10-02
Anderson,2020-05-21,63,2,2020-10-02
Anderson,2020-05-22,64,1,2020-10-02
Anderson,2020-05-23,66,2,2020-10-02
Anderson,2020-05-24,66,0,2020-10-02
Anderson,2020-05-25,66,0,2020-10-02
Anderson,2020-05-26,66,0,2020-10-02
Anderson,2020-05-27,66,0,2020-10-02
Anderson,2020-05-28,66,0,2020-10-02
Anderson,2020-05-29,72,6,2020-10-02
Anderson,2020-05-30,72,0,2020-10-02
Anderson,2020-05-31,72,0,2020-10-02
Anderson,2020-06-01,72,0,2020-10-02
Anderson,2020-06-02,76,4,2020-10-02
Anderson,2020-06-03,78,2,2020-10-02
Anderson,2020-06-04,85,7,2020-10-02
Anderson,2020-06-05,87,2,2020-10-02
Anderson,2020-06-06,85,-2,2020-10-02
Anderson,2020-06-07,85,0,2020-10-02
Anderson,2020-06-08,85,0,2020-10-02
Anderson,2020-06-09,91,6,2020-10-02
Anderson,2020-06-10,91,0,2020-10-02
Anderson,2020-06-11,95,4,2020-10-02
Anderson,2020-06-12,95,0,2020-10-02
Anderson,2020-06-13,102,7,2020-10-02
Anderson,2020-06-14,102,0,2020-10-02
Anderson,2020-06-15,102,0,2020-10-02
Anderson,2020-06-16,989,887,2020-10-02
Anderson,2020-06-17,990,1,2020-10-02
Anderson,2020-06-18,1003,13,2020-10-02
Anderson,2020-06-19,1007,4,2020-10-02
Anderson,2020-06-20,1006,-1,2020-10-02
Anderson,2020-06-21,1006,0,2020-10-02
Anderson,2020-06-22,1006,0,2020-10-02
Anderson,2020-06-23,1009,3,2020-10-02
Anderson,2020-06-24,1013,4,2020-10-02
Anderson,2020-06-25,1014,1,2020-10-02
Anderson,2020-06-26,1017,3,2020-10-02
Anderson,2020-06-27,1017,0,2020-10-02
Anderson,2020-06-28,1016,-1,2020-10-02
Anderson,2020-06-29,1016,0,2020-10-02
Anderson,2020-06-30,1032,16,2020-10-02
Anderson,2020-07-01,1040,8,2020-10-02
Anderson,2020-07-02,1063,23,2020-10-02
Anderson,2020-07-03,1072,9,2020-10-02
Anderson,2020-07-04,1070,-2,2020-10-02
Anderson,2020-07-05,1082,12,2020-10-02
Anderson,2020-07-06,1082,0,2020-10-02
Anderson,2020-07-07,1108,26,2020-10-02
Anderson,2020-07-08,1152,44,2020-10-02
Anderson,2020-07-09,1533,381,2020-10-02
