TSA_ID,TSA_Name,Date,DailyCount_patients,DailyDelta_patients,DailyCount_beds,DailyDelta_beds,LastUpdateDate
A,Amarillo,2020-04-12,17,,613,,2020-07-25
A,Amarillo,2020-04-13,17,0,251,-362,2020-07-25
A,Amarillo,2020-04-14,17,0,571,320,2020-07-25
A,Amarillo,2020-04-15,40,23,519,-52,2020-07-25
A,Amarillo,2020-04-16,18,-22,668,149,2020-07-25
A,Amarillo,2020-04-17,24,6,645,-23,2020-07-25
A,Amarillo,2020-04-18,18,-6,638,-7,2020-07-25
A,Amarillo,2020-04-19,35,17,548,-90,2020-07-25
A,Amarillo,2020-04-20,17,-18,572,24,2020-07-25
A,Amarillo,2020-04-21,17,0,572,0,2020-07-25
A,Amarillo,2020-04-22,41,24,527,-45,2020-07-25
A,Amarillo,2020-04-23,41,0,504,-23,2020-07-25
A,Amarillo,2020-04-24,40,-1,534,30,2020-07-25
A,Amarillo,2020-04-25,46,6,479,-55,2020-07-25
A,Amarillo,2020-04-26,59,13,462,-17,2020-07-25
A,Amarillo,2020-04-27,64,5,468,6,2020-07-25
A,Amarillo,2020-04-28,67,3,432,-36,2020-07-25
A,Amarillo,2020-04-29,82,15,434,2,2020-07-25
A,Amarillo,2020-04-30,84,2,586,152,2020-07-25
A,Amarillo,2020-05-01,87,3,582,-4,2020-07-25
A,Amarillo,2020-05-02,91,4,477,-105,2020-07-25
A,Amarillo,2020-05-03,101,10,468,-9,2020-07-25
A,Amarillo,2020-05-04,94,-7,466,-2,2020-07-25
A,Amarillo,2020-05-05,90,-4,475,9,2020-07-25
A,Amarillo,2020-05-06,96,6,464,-11,2020-07-25
A,Amarillo,2020-05-07,109,13,532,68,2020-07-25
A,Amarillo,2020-05-08,112,3,507,-25,2020-07-25
A,Amarillo,2020-05-09,109,-3,508,1,2020-07-25
A,Amarillo,2020-05-10,103,-6,481,-27,2020-07-25
A,Amarillo,2020-05-11,98,-5,478,-3,2020-07-25
A,Amarillo,2020-05-12,94,-4,495,17,2020-07-25
A,Amarillo,2020-05-13,82,-12,482,-13,2020-07-25
A,Amarillo,2020-05-14,84,2,455,-27,2020-07-25
A,Amarillo,2020-05-15,79,-5,526,71,2020-07-25
A,Amarillo,2020-05-16,80,1,516,-10,2020-07-25
A,Amarillo,2020-05-17,72,-8,511,-5,2020-07-25
A,Amarillo,2020-05-18,68,-4,455,-56,2020-07-25
A,Amarillo,2020-05-19,70,2,457,2,2020-07-25
A,Amarillo,2020-05-20,75,5,423,-34,2020-07-25
A,Amarillo,2020-05-21,63,-12,487,64,2020-07-25
A,Amarillo,2020-05-22,53,-10,486,-1,2020-07-25
A,Amarillo,2020-05-23,55,2,450,-36,2020-07-25
A,Amarillo,2020-05-24,55,0,476,26,2020-07-25
A,Amarillo,2020-05-25,55,0,483,7,2020-07-25
A,Amarillo,2020-05-26,61,6,479,-4,2020-07-25
A,Amarillo,2020-05-27,59,-2,474,-5,2020-07-25
A,Amarillo,2020-05-28,63,4,495,21,2020-07-25
A,Amarillo,2020-05-29,24,-39,447,-48,2020-07-25
A,Amarillo,2020-05-30,58,34,399,-48,2020-07-25
A,Amarillo,2020-05-31,39,-19,404,5,2020-07-25
A,Amarillo,2020-06-01,47,8,415,11,2020-07-25
A,Amarillo,2020-06-02,45,-2,401,-14,2020-07-25
A,Amarillo,2020-06-03,46,1,385,-16,2020-07-25
A,Amarillo,2020-06-04,38,-8,373,-12,2020-07-25
A,Amarillo,2020-06-05,31,-7,378,5,2020-07-25
A,Amarillo,2020-06-06,32,1,462,84,2020-07-25
A,Amarillo,2020-06-07,31,-1,426,-36,2020-07-25
A,Amarillo,2020-06-08,25,-6,402,-24,2020-07-25
A,Amarillo,2020-06-09,29,4,399,-3,2020-07-25
A,Amarillo,2020-06-10,25,-4,386,-13,2020-07-25
